last=1999	current_no_slices=999999725	max_no_slices=0
last=1998	current_no_slices=999999856	max_no_slices=999999725
last=1997	current_no_slices=999999910	max_no_slices=999999856
last=1996	current_no_slices=999999770	max_no_slices=999999910
last=1995	current_no_slices=999999849	max_no_slices=999999910
last=1994	current_no_slices=999999917	max_no_slices=999999910
last=1993	current_no_slices=999999932	max_no_slices=999999917
last=1992	current_no_slices=999999619	max_no_slices=999999932
last=1991	current_no_slices=999999921	max_no_slices=999999932
last=1990	current_no_slices=999999877	max_no_slices=999999932
last=1989	current_no_slices=999854624	max_no_slices=999999932
last=1988	current_no_slices=998858833	max_no_slices=999999932
last=1987	current_no_slices=997863285	max_no_slices=999999932
last=1986	current_no_slices=996868004	max_no_slices=999999932
last=1985	current_no_slices=995872844	max_no_slices=999999932
last=1984	current_no_slices=994877826	max_no_slices=999999932
last=1983	current_no_slices=993883660	max_no_slices=999999932
last=1982	current_no_slices=992889814	max_no_slices=999999932
last=1981	current_no_slices=991896143	max_no_slices=999999932
last=1980	current_no_slices=990903027	max_no_slices=999999932
last=1979	current_no_slices=989910028	max_no_slices=999999932
last=1978	current_no_slices=988917135	max_no_slices=999999932
last=1977	current_no_slices=987924857	max_no_slices=999999932
last=1976	current_no_slices=986932789	max_no_slices=999999932
last=1975	current_no_slices=985940813	max_no_slices=999999932
last=1974	current_no_slices=984949422	max_no_slices=999999932
last=1973	current_no_slices=983958220	max_no_slices=999999932
last=1972	current_no_slices=982967062	max_no_slices=999999932
last=1971	current_no_slices=981976054	max_no_slices=999999932
last=1970	current_no_slices=980985951	max_no_slices=999999932
last=1969	current_no_slices=979995951	max_no_slices=999999932
last=1968	current_no_slices=979006916	max_no_slices=999999932
last=1967	current_no_slices=978018153	max_no_slices=999999932
last=1966	current_no_slices=977029566	max_no_slices=999999932
last=1965	current_no_slices=976041048	max_no_slices=999999932
last=1964	current_no_slices=975052787	max_no_slices=999999932
last=1963	current_no_slices=974065401	max_no_slices=999999932
last=1962	current_no_slices=973078147	max_no_slices=999999932
last=1961	current_no_slices=972091320	max_no_slices=999999932
last=1960	current_no_slices=971105227	max_no_slices=999999932
last=1959	current_no_slices=970119209	max_no_slices=999999932
last=1958	current_no_slices=969133221	max_no_slices=999999932
last=1957	current_no_slices=968148309	max_no_slices=999999932
last=1956	current_no_slices=967163590	max_no_slices=999999932
last=1955	current_no_slices=966179000	max_no_slices=999999932
last=1954	current_no_slices=965196796	max_no_slices=999999932
last=1953	current_no_slices=964215557	max_no_slices=999999932
last=1952	current_no_slices=963234549	max_no_slices=999999932
last=1951	current_no_slices=962254388	max_no_slices=999999932
last=1950	current_no_slices=961274315	max_no_slices=999999932
last=1949	current_no_slices=960294634	max_no_slices=999999932
last=1948	current_no_slices=959315561	max_no_slices=999999932
last=1947	current_no_slices=958336917	max_no_slices=999999932
last=1946	current_no_slices=957358453	max_no_slices=999999932
last=1945	current_no_slices=956380236	max_no_slices=999999932
last=1944	current_no_slices=955402228	max_no_slices=999999932
last=1943	current_no_slices=954425160	max_no_slices=999999932
last=1942	current_no_slices=953449078	max_no_slices=999999932
last=1941	current_no_slices=952473977	max_no_slices=999999932
last=1940	current_no_slices=951499696	max_no_slices=999999932
last=1939	current_no_slices=950525499	max_no_slices=999999932
last=1938	current_no_slices=949551412	max_no_slices=999999932
last=1937	current_no_slices=948577353	max_no_slices=999999932
last=1936	current_no_slices=947604567	max_no_slices=999999932
last=1935	current_no_slices=946632992	max_no_slices=999999932
last=1934	current_no_slices=945661575	max_no_slices=999999932
last=1933	current_no_slices=944690791	max_no_slices=999999932
last=1932	current_no_slices=943720205	max_no_slices=999999932
last=1931	current_no_slices=942749812	max_no_slices=999999932
last=1930	current_no_slices=941780366	max_no_slices=999999932
last=1929	current_no_slices=940811525	max_no_slices=999999932
last=1928	current_no_slices=939843360	max_no_slices=999999932
last=1927	current_no_slices=938876067	max_no_slices=999999932
last=1926	current_no_slices=937908920	max_no_slices=999999932
last=1925	current_no_slices=936942221	max_no_slices=999999932
last=1924	current_no_slices=935976230	max_no_slices=999999932
last=1923	current_no_slices=935010515	max_no_slices=999999932
last=1922	current_no_slices=934044966	max_no_slices=999999932
last=1921	current_no_slices=933080626	max_no_slices=999999932
